url,title,partner,enroll,rating,level,duration,skills,reviews
https://www.coursera.org/learn/asian-american-history-identity-antiracism-toolkit,Asian American History and Identity: An Anti-Racism Toolkit,University of Colorado Boulder,,,Beginner level,2 weeks to complete,"Media and Communications, Social Justice, World History, Cultural Diversity, Intercultural Competence, Cultural Sensitivity, Diversity Awareness, Immigration Law, Community Organizing",
https://www.coursera.org/learn/korean-music-a-philosophical-exploration,"Korean Music, A Philosophical Exploration",Sungkyunkwan University,"1,552",4.8,Intermediate level,1 week to complete,"World Music, Music Theory, Music History, Music, Culture, Aesthetics, Cultural Diversity",11
https://www.coursera.org/learn/game-character-design,Character Design for Video Games,California Institute of the Arts,"55,968",4.7,Beginner level,,"Storytelling, Game Design, Animation and Game Design, Design, Design Elements And Principles, Video Game Development, Technical Design, Creative Design, Animations, Conceptual Design","1,003"
https://www.coursera.org/learn/make-comic-books,How to Make a Comic Book (Project-Centered Course),High Tech High Graduate School of Education,"67,388",4.6,,2 weeks to complete,"Peer Review, Graphic and Visual Design, Storytelling, Storyboarding, Layout Design, Creativity, Typography",282
https://www.coursera.org/specializations/blender-for-filmmakers-bring-your-vision-to-life,Blender for Filmmakers: Bring Your Vision to Life Specialization,Skillshare,,,Intermediate level,4 weeks to complete,"3D Assets, 3D Modeling, Animation and Game Design, Animations, Cinematography, Computer Graphics, File Management, Motion Graphics, Photo/Video Production and Technology, Post-Production, Video Editing, Video Production, Virtual Environment",
https://www.coursera.org/learn/english-composition,English Composition I,Duke University,"463,925",4.6,Beginner level,3 weeks at 10 hours a week,"Research, Case Studies, Editing, Research Methodologies, Report Writing, Peer Review, English Language, Literacy, Persuasive Communication, Ethical Standards And Conduct, Proofreading, Grammar, Style Guides","1,302"
https://www.coursera.org/learn/egitto,L’Egitto prima e dopo i faraoni. Dalla nascita dello Stato (3000 a.C. ca.) alle prime comunità cristiane (IV secolo d.C.),Sapienza University of Rome,"2,637",4.7,Beginner level,,"Cultural Diversity, Culture, Art History, World History, Ancient History",118
https://www.coursera.org/learn/launching-your-music-career,Launching Your Music Career,University of Colorado Boulder,,,Intermediate level,,"Business Management, Business Strategy, Performing Arts, Recruitment Strategies, Relationship Building, Business Modeling, Branding, Event Management, Portfolio Management, Recruitment, Entrepreneurship, Professional Networking, Growth Strategies, Value Propositions, Target Market, Music Performance, Marketing Strategies, Business Planning",
https://www.coursera.org/learn/introancientegypt,Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,"137,436",4.6,Intermediate level,,"Research Methodologies, Timelines, Ancient History, Anthropology, Art History, Social Studies, World History, Storytelling, Cultural Diversity, Investigation","2,900"
https://www.coursera.org/learn/daojiao,品读道家的智慧,Xi'an Jiaotong University,"3,980",4.7,Advanced level,2 weeks to complete,"Cultural Diversity, Ancient History, Social Sciences, Liberal Arts, Governance, Systems Thinking, Culture",72
https://www.coursera.org/learn/the-american-renaissance-and-mark--twain,The American Renaissance and Mark Twain,Dartmouth College,,,,,"Diversity Awareness, Culture, Storytelling, Research, Liberal Arts, Writing, Cultural Diversity",
https://www.coursera.org/learn/the-basics-of-libertarian-free-will,The Basics of Libertarian Free Will,Dartmouth College,"2,149",4.8,,,"Science and Research, Liberal Arts, Psychology, Research, Systems Thinking",11
https://www.coursera.org/learn/how-to-make-money-with-your-music-copyrights,How to Make Money with Your Music Copyrights,Berklee,"2,821",4.9,Intermediate level,,"Payment Processing and Collection, Revenue Recognition, Intellectual Property, Digital Assets, Registration, Entrepreneurship, Regulation and Legal Compliance, Revenue Management, Music",37
https://www.coursera.org/learn/historia-asia-oriental-japon-corea-china-taiwan,Asia Oriental en el s. XX: introducción desde la Historia,Universitat Autònoma de Barcelona,,4.7,Beginner level,2 weeks to complete,"Cultural Diversity, Economics, International Relations, Political Sciences, Economic Development, Diplomacy, Social Sciences, World History, Cultural Sensitivity, Governance",31
https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,Write A Feature Length Screenplay For Film Or Television,Michigan State University,"92,796",4.6,Beginner level,2.5 months at 10 hours a week,"Storytelling, Writing, Peer Review, Storyboarding, Writing and Editing",301
https://www.coursera.org/learn/el-holocausto,El Holocausto: el abismo de la humanidad,Yad Vashem ,"2,796",5.0,Beginner level,2 weeks at 10 hours a week,"Political Sciences, European History, Pedagogy, Teaching, Instructional Strategies, Educational Materials, Demography, Social Studies, World History, Lesson Planning, Cultural Diversity",41
https://www.coursera.org/learn/antisemitisme,L’antisémitisme : De ses origines à nos jours,Yad Vashem ,,,Beginner level,2 weeks to complete,"World History, International Relations, Cultural Diversity, Political Sciences, Social Justice, Ancient History, Anthropology, Social Studies, European History, Sociology",
https://www.coursera.org/specializations/creative-essay-writing-explore-the-personal-and-powerful,Creative Essay Writing: Explore the Personal & Powerful Specialization,Skillshare,"1,528",4.7,Beginner level,4 weeks to complete,"Content Creation, Creativity, Editing, Honesty, Investigation, Journalism, Journals, Lifelong Learning, Mindfulness, Peer Review, Persistence, Personal Development, Proofreading, Resilience, Self-Awareness, Self-Discipline, Self-Motivation, Storytelling, Writing, Writing and Editing",9
https://www.coursera.org/learn/in-depth-capcut-video-editing-masterclass-core-editing,In Depth CapCut Video Editing Masterclass: Core Editing,Skillshare,"5,682",4.5,Beginner level,,"Storytelling, Video Editing, Video Production, Timelines, Editing, Productivity",17
https://www.coursera.org/learn/the-red-chamber-dream-daguan-garden,又見大觀：《紅樓夢》中的烏托邦 (The Red Chamber Dream (3): Daguan Garden),National Taiwan University,"2,502",,Beginner level,2 weeks to complete,"Design, Design Elements And Principles, Aesthetics, Art History, Storytelling, Ancient History, Creativity",
https://www.coursera.org/learn/blender-for-filmmakers-turn-2d-photos-into-3d-scenes,Blender for Filmmakers: Turn 2D Photos into 3D Scenes,Skillshare,,,Intermediate level,,"Post-Production, 3D Modeling, Video Production, Animation and Game Design, Cinematography, Motion Graphics, Computer Graphics",
https://www.coursera.org/specializations/fashionasdesign,Fashion As Design Specialization,The Museum of Modern Art,,,Beginner level,4 weeks to complete,"Aesthetics, Creative Thinking, Creativity, Cultural Diversity, Design Elements And Principles, Ethical Standards And Conduct, Non-Verbal Communication, Performing Arts, Photography, Social Impact, Sustainability Standards",
https://www.coursera.org/learn/tecnica-violino-viola,PRINCÍPIOS GERAIS DA TÉCNICA DO VIOLINO E DA VIOLA DE ARCO,Universidade Estadual de Campinas,"3,776",4.9,Intermediate level,,"Classical Music, Coordination, Music Performance",77
https://www.coursera.org/learn/chinese-garden-literature-1,中國園林文學 (一) (Chinese Garden Literature (1)),National Taiwan University,"2,718",,Beginner level,2 weeks to complete,"Liberal Arts, Ancient History, Writing, Aesthetics, Creativity, Art History",
https://www.coursera.org/learn/surface-pattern-design-by-hand-repeat-patterns-on-paper,Surface Pattern Design by Hand: Repeat Patterns on Paper,Skillshare,,,Beginner level,,"Design, Creativity, Digital Design, Design Elements And Principles",
https://www.coursera.org/learn/modern-world-2,"The Modern World, Part Two: Global History since 1910",University of Virginia,"85,255",4.8,Beginner level,2 weeks at 10 hours a week,"Culture, Economics, Social Sciences, Governance, European History, International Relations, World History, Political Sciences","1,666"
https://www.coursera.org/learn/architettura-contemporanea,Introduzione alla Storia dell'Architettura Contemporanea,Politecnico di Milano,"8,563",4.8,Beginner level,,"Art History, Design Elements And Principles, European History, Architectural Design, Design, Architecture and Construction, Aesthetics",185
https://www.coursera.org/learn/accessibility-scenic-arts,Accessibility to the Scenic Arts,Universitat Autònoma de Barcelona,"3,494",4.7,Intermediate level,2 weeks to complete,"Coordination, Disabilities, Performing Arts, Needs Assessment, Diversity Equity and Inclusion Initiatives, Communication Strategies, Planning, Cultural Diversity, Web Content Accessibility Guidelines, Law, Regulation, and Compliance",34
https://www.coursera.org/learn/moneyball-and-globalization,Moneyball and Globalization,University of Colorado Boulder,,,Beginner level,,"Labor Relations, International Relations, Economic Development, Market Opportunities, Cultural Diversity, Governance, Global Marketing, Labor Law, Culture, Business Economics, Demography, Socioeconomics, Economics, World History",
https://www.coursera.org/learn/old-norse-mythology-sources,Old Norse Mythology in the Sources,University of Colorado Boulder,"22,549",4.6,Beginner level,,"Culture, Research, Storytelling, World History, Ancient History, European History, Language Interpretation, Translation, and Studies",370
https://www.coursera.org/learn/western-religions-ecology,Western Religions & Ecology,Yale University,"1,857",4.9,Beginner level,2 weeks to complete,"Intercultural Competence, Environmental Science, Ethical Standards And Conduct, Social Justice, Culture, Cultural Diversity, Environmental Issue, Sustainable Development, Advocacy, Liberal Arts",18
https://www.coursera.org/learn/mastering-natural-light-in-portrait-photography,Mastering Natural Light in Portrait Photography,Skillshare,,,Beginner level,,"Editing, Photo Editing, Photography, Image Quality",
https://www.coursera.org/learn/improvisacao-no-jazz,Improvisação no Jazz,Berklee,,4.6,Intermediate level,1 week to complete,"Music, Storytelling, Oral Expression, Music Theory, Creativity, Music Performance, Instrumental Music, Musical Composition",17
https://www.coursera.org/learn/metaphysics,Reality Bites: Introduction to metaphysics,Erasmus University Rotterdam,"4,171",4.5,Intermediate level,,Aesthetics,18
https://www.coursera.org/learn/inquiry-into-confucius-and-mencius,深扣孔孟 (An Inquiry into Confucius and Mencius),National Taiwan University,"2,030",,Beginner level,2 weeks to complete,"Education and Training, Social Sciences, Interpersonal Communications, Human Learning, Culture, Ethical Standards And Conduct, Human Development, Sociology, Family Support, Ancient History, Cultural Diversity, Political Sciences, Governance",
https://www.coursera.org/learn/what-is-news,What is news?,Michigan State University,"45,588",4.7,,2 weeks to complete,"Photo/Video Production and Technology, Blogs, Ethical Standards And Conduct, Content Creation, Driving engagement, Electronic Media, Journalism, Storytelling, Media and Communications, Multimedia","1,183"
https://www.coursera.org/learn/indigenous-canada,Indigenous Canada,University of Alberta,"643,576",4.8,Beginner level,2 weeks at 10 hours a week,"Civil Law, Natural Resource Management, Political Sciences, Environment and Resource Management, Sustainable Development","23,738"
https://www.coursera.org/learn/knowledge-first-social-epistemology,Knowledge-First Social Epistemology,University of Glasgow ,,,Intermediate level,1 week to complete,"Social Impact, Social Sciences, Investigation, Peer Review, Probability & Statistics, Research, Media and Communications, Cultural Responsiveness",
https://www.coursera.org/learn/wonders-ancient-egypt,Wonders of Ancient Egypt,University of Pennsylvania,"42,467",4.8,Intermediate level,1 week at 10 hours a week,"World History, Ancient History, Anthropology, Research Methodologies, Art History","1,045"
https://www.coursera.org/learn/fashion-silhouettes-icons,Fashion as Design: Silhouettes and Icons,The Museum of Modern Art,,,Beginner level,,"Storytelling, Design Elements And Principles",
https://www.coursera.org/learn/freelance-editing-launch--build-your-video-editing-career,Freelance Editing: Launch & Build Your Video Editing Career,Skillshare,"2,392",,,,"Post-Production, Self-Motivation, Video Production, Adaptability, Client Services, Price Negotiation, Video Editing, Entrepreneurship, Professional Networking, Customer Relationship Building, Goal Setting, Business Systems",
