url,title,partner,enroll,rating,level,duration,skills,reviews,category
https://www.coursera.org/learn/henry,Patrick Henry: Forgotten Founder,University of Virginia,"4,195",4.9,Beginner level,,"Persuasive Communication, Governance, Advocacy, Political Sciences, European History, Public Affairs, Public History",184,Arts and Humanities
https://www.coursera.org/learn/film-documentaries-write-film--edit-short-a-documentary,"Film Documentaries: Write, Film & Edit A Short Documentary",Skillshare,,,Beginner level,,"Color Matching, Storyboarding, Creativity, Video Production, Storytelling, Videography, Writing, Cinematography, Post-Production, Editing",,Arts and Humanities
https://www.coursera.org/specializations/memoir-personal-essay,Memoir and Personal Essay: Write About Yourself Specialization,Wesleyan University,"19,737",4.4,Beginner level,4 weeks to complete,"Content Creation, Creativity, Detail Oriented, Editing, English Language, Journals, Organizational Skills, Overcoming Obstacles, Personal Development, Self-Awareness, Storytelling, Writing, Writing and Editing",437,Arts and Humanities
https://www.coursera.org/learn/design-better-and-build-your-brand-with-canva,Design Better and Build Your Brand with Canva,Packt,,,Beginner level,1 week to complete,"Scheduling, Graphic and Visual Design, Style Guides, Branding, Typography, Logo Design, Marketing Design, Animations, Social Media Content",,Arts and Humanities
https://www.coursera.org/learn/story-writing-project,Capstone: Your Story,Wesleyan University,"17,796",4.6,An impressive course that help you improve your writing skills and takes your creativity to the next level. If your future dream to be a writer than I recommend this course for you.,,"Editing, Professionalism, Creativity, Peer Review, Persistence, Constructive Feedback, Writing, Storytelling",460,Arts and Humanities
https://www.coursera.org/specializations/street-photography,Street Photography Specialization,Skillshare,,4.7,Beginner level,4 weeks to complete,"Adaptability, Aesthetics, Creative Thinking, Creativity, Curiosity, Decision Making, Ethical Standards And Conduct, Growth Mindedness, Lifelong Learning, Patience, Persistence, Photo Editing, Photo/Video Production and Technology, Photography, Post-Production, Resilience, Self-Awareness, Storytelling, Style Guides",9,Arts and Humanities
https://www.coursera.org/learn/adobe-lightroom-essentials-pt-2-organizing-masking-tools,Adobe Lightroom Essentials Pt. 2: Organizing & Masking Tools,Skillshare,,,Beginner level,,"Data Storage, Photo Editing, Image Quality, File Management, Photography, Data Import/Export",,Arts and Humanities
https://www.coursera.org/learn/actors-discuss-romeo-and-juliet,William Shakespeare's Romeo & Juliet: An Actor's Perspective,University of Colorado Boulder,"1,830",,Beginner level,1 week to complete,"Storytelling, Oral Expression, Art History, Performing Arts",,Arts and Humanities
https://www.coursera.org/learn/music-business-foundations,Music Business Foundations,Berklee,"68,952",4.9,,1 week to complete,"Contract Negotiation, Intellectual Property, Law, Regulation, and Compliance, Entrepreneurship, Music History, Digital Content, Revenue Management, Team Management, Negotiation, Business, Music, Innovation","2,705",Arts and Humanities
https://www.coursera.org/learn/street-photography-post-production--lifelong-practice,Street Photography: Post-Production & Lifelong Practice,Skillshare,,,Beginner level,,"Detail Oriented, Post-Production, Storytelling, Lifelong Learning, Photography, Creative Thinking, Growth Mindedness, Creativity, Photo Editing",,Arts and Humanities
https://www.coursera.org/learn/how-to-draw-a-beginners-guide-pt-1--basic-shapes,How to Draw: A Beginner’s Guide Pt 1 – Basic Shapes,Skillshare,"5,897",4.2,,,Design Elements And Principles,18,Arts and Humanities
https://www.coursera.org/learn/musicbiz,Understanding the Music Business: What is Music Worth?,Vanderbilt University,"25,935",4.5,,2 weeks to complete,"Digital Transformation, Marketing Communications, Revenue Management, Business Ethics, Music Performance, Event Management, Business Modeling, Entrepreneurship, Intellectual Property, Media Production, Marketing, Music",147,Arts and Humanities
https://www.coursera.org/learn/the-american-renaissance-and-ralph-waldo-emerson,The American Renaissance and Ralph Waldo Emerson,Dartmouth College,"1,523",4.3,,,"Research, Social Justice, Liberal Arts, Ethical Standards And Conduct, Creativity, Advocacy, Social Studies, Political Sciences, Writing, Cultural Diversity, Culture",10,Arts and Humanities
https://www.coursera.org/specializations/specialeffects,Special Effects Specialization,Skillshare,,4.7,Beginner level,4 weeks to complete,"Animations, Cinematography, Color Matching, Content Creation, Creativity, File Management, Ideation, Motion Graphics, Post-Production, Storyboarding, Timelines, Video Editing, Video Production",6,Arts and Humanities
https://www.coursera.org/specializations/the-complete-graphic-design-masterclass,The Complete Graphic Design Masterclass Specialization,Skillshare,,4.5,Beginner level,4 weeks to complete,"Animations, Brand Strategy, Branding, Color Theory, Competitive Analysis, Content Creation, Design Strategies, Graphic and Visual Design Software, Graphic Design, Layout Design, Logo Design, Packaging and Labeling, Presentations, Product Design, Social Media, Storytelling, Target Audience, Typography",22,Arts and Humanities
https://www.coursera.org/learn/cine-mexicano-espejo-de-identidad-y-diversidad-cultural,Cine Mexicano: Espejo de Identidad y Diversidad Cultural,Universidades Anáhuac,,,Beginner level,2 weeks to complete,"Storytelling, Cultural Diversity, World History, Music, Art History, Cinematography, Social Studies, Culture",,Arts and Humanities
https://www.coursera.org/learn/colors-bodies-power,"ART of the MOOC: Colors, Bodies, Power",Duke University,,,Beginner level,,"Cultural Diversity, Diversity Equity and Inclusion Initiatives, Color Theory, World History, Emerging Technologies, Aesthetics, Sociology, Social Justice, Art History, Disabilities, Political Sciences, Advocacy, Performing Arts",,Arts and Humanities
