url,title,partner,enroll,rating,level,duration,skills,reviews,category
https://www.coursera.org/specializations/wetland-science-and-management-fundamentals-to-conservation,Wetland Science & Management: Fundamentals to Conservation Specialization,University of Illinois Urbana-Champaign,,4.9,Intermediate level,4 weeks to complete,"Biology, Climate Change Adaptation, Environment, Environment and Resource Management, Environmental Engineering and Restoration, Environmental Monitoring, Environmental Science, Geospatial Information and Technology, Hydrology, Laboratory Testing, Land Management, Microbiology, Natural Resource Management, Research Reports, Technical Documentation, Water Quality, Water Resource Management, Water Resources",15,Physical Science and Engineering
https://www.coursera.org/learn/physics-102-electric-potential-and-dc-circuits,Physics 102 - Electric Potential and DC Circuits,Rice University,"6,206",4.8,Intermediate level,2 weeks to complete,"Physics, Electronic Components, Calculus, Problem Solving, Basic Electrical Systems, Electronics, Linear Algebra, Electrical Systems, Integral Calculus, Mechanics, Electrical Engineering",33,Physical Science and Engineering
https://www.coursera.org/learn/structural-scheme-setting-and-etabs-analysis-of-rcc-building,Structural scheme setting and ETABS Analysis of RCC Building,L&T EduTech,"3,552",4.7,Intermediate level,1 week to complete,"Engineering Calculations, Building Design, Engineering Software, Construction, Structural Engineering, Architectural Engineering, Structural Analysis, Civil and Architectural Engineering, Architectural Drawing, Building Codes, Engineering Design Process",22,Physical Science and Engineering
https://www.coursera.org/learn/modeling-and-control-of-single-phase-rectifiers-and-inverters,Modeling and Control of Single-Phase Rectifiers and Inverters,University of Colorado Boulder,"8,339",4.6,Intermediate level,1 week at 10 hours a week,"Power Electronics, Electronics Engineering, Electrical Engineering, Simulations, Mathematical Modeling, Electric Power Systems, Electronics, Control Systems",34,Physical Science and Engineering
https://www.coursera.org/learn/financing-major-engineering-projects,Financing and Initiating Major Engineering Projects,University of Leeds,"8,564",4.7,Intermediate level,2 weeks at 10 hours a week,"Case Studies, Financial Analysis, Governance, Project Design, Stakeholder Management, Engineering Management, Finance, Return On Investment, Risk Management, Cost Benefit Analysis, Project Finance, Contract Management, Procurement, Project Management, Project Implementation",271,Physical Science and Engineering
https://www.coursera.org/learn/physics-101-energy-momentum,Physics 101 - Energy and Momentum,Rice University,"9,183",4.5,Intermediate level,2 weeks to complete,"Mechanics, Engineering Analysis, Engineering Calculations, Physical Science, Mathematical Modeling, Physics, Problem Solving, Mechanical Engineering, Calculus",44,Physical Science and Engineering
https://www.coursera.org/learn/solar-energy-system-design,Solar Energy System Design,The State University of New York,"35,342",4.7,Intermediate level,2 weeks at 10 hours a week,"Wiring Diagram, Estimation, Electronic Components, Electric Power Systems, Equipment Design, Electrical Power, Performance Testing, Sustainable Design, System Requirements, Basic Electrical Systems, Engineering Calculations, Electrical Safety, Energy and Utilities, Physical Science",473,Physical Science and Engineering
https://www.coursera.org/specializations/iot,An Introduction to Programming the Internet of Things (IOT) Specialization,"University of California, Irvine","181,192",4.7,Beginner level,2 months to complete,"Automation Engineering, Basic Electrical Systems, Debugging, Electronic Components, Electronics, Embedded Systems, Functional Requirement, Internet Of Things, Network Protocols, Operating System Administration, Requirements Analysis, Systems Design, TCP/IP, Test Planning, User Requirements Documents","20,440",Physical Science and Engineering
https://www.coursera.org/learn/agile-systems-engineering-leadership,Agile Systems Engineering Leadership,University of Colorado System,,,Intermediate level,,"Team Building, Team Management, Motivational Skills, Organizational Structure, Leadership, Team Motivation, Employee Engagement, Engineering Management, Agile Methodology, Leadership and Management, Teamwork, Organizational Leadership, Conflict Management, Systems Engineering",,Physical Science and Engineering
https://www.coursera.org/learn/climate-science-everyone,Climate Science for Everyone,Duke University,"2,900",4.9,Beginner level,,"Climate Change Mitigation, Environment, International Relations, Natural Resource Management, Environmental Policy, Community Development, Mathematical Modeling, Pollution Prevention, Sustainable Development, Climate Change Programs, Trend Analysis, Mental Health, Social Impact, Data Collection, Simulations, Environmental Science, Climate Change Adaptation",22,Physical Science and Engineering
